date,total_cases,daily_cases,actual_cases,total_dead,daily_dead,total_test,daily_test
2020-01-30,0,0,0,0,0,15,15
2020-01-31,0,0,0,0,0,22,7
2020-02-01,0,0,0,0,0,26,4
2020-02-02,0,0,0,0,0,26,0
2020-02-03,0,0,0,0,0,27,1
2020-02-04,0,0,0,0,0,29,2
2020-02-05,0,0,0,0,0,32,3
2020-02-06,0,0,0,0,0,33,1
2020-02-07,0,0,0,0,0,34,1
2020-02-08,0,0,0,0,0,36,2
2020-02-09,0,0,0,0,0,39,3
2020-02-10,0,0,0,0,0,39,0
2020-02-11,0,0,0,0,0,41,2
2020-02-12,0,0,0,0,0,44,3
2020-02-13,0,0,0,0,0,46,2
2020-02-14,0,0,0,0,0,47,1
2020-02-15,0,0,0,0,0,48,1
2020-02-16,0,0,0,0,0,48,0
2020-02-17,0,0,0,0,0,48,0
2020-02-18,0,0,0,0,0,50,2
2020-02-19,0,0,0,0,0,50,0
2020-02-20,0,0,0,0,0,51,1
2020-02-21,0,0,0,0,0,52,1
2020-02-22,0,0,0,0,0,53,1
2020-02-23,0,0,0,0,0,55,2
2020-02-24,0,0,0,0,0,58,3
2020-02-25,0,0,0,0,0,59,1
2020-02-26,1,1,0,0,0,80,21
2020-02-27,1,0,0,0,0,193,113
2020-02-28,1,0,0,0,0,254,61
2020-02-29,2,1,0,0,0,288,34
2020-03-01,2,0,0,0,0,343,55
2020-03-02,2,0,0,0,0,597,254
2020-03-03,2,0,0,0,0,730,133
2020-03-04,3,1,0,0,0,848,118
2020-03-05,7,4,0,0,0,1021,173
2020-03-06,13,6,0,0,0,1261,240
2020-03-07,19,6,0,0,0,1295,34
2020-03-08,25,6,0,0,0,1320,25
2020-03-09,25,0,0,0,0,1320,0
2020-03-10,34,9,0,0,0,1707,387
2020-03-11,52,18,0,0,0,1894,187
2020-03-12,77,25,0,0,0,2662,768
2020-03-13,98,21,0,0,0,2927,265
2020-03-14,121,23,0,0,0,3030,103
2020-03-15,200,79,0,0,0,3599,569
2020-03-16,234,34,0,0,0,3922,323
2020-03-17,291,57,0,1,1,11000,7078
2020-03-18,428,137,0,4,3,13547,2547
2020-03-19,682,254,0,7,3,18468,4921
2020-03-20,931,249,0,12,5,21526,3058
2020-03-21,1173,242,0,18,6,18063,-3463
2020-03-22,1565,392,0,25,7,20447,2384
2020-03-23,1937,372,0,34,9,23504,3057
2020-03-24,2236,299,0,46,12,27392,3888
2020-03-25,2433,197,0,57,11,2433,-24959
2020-03-26,2915,482,0,77,20,2915,482
2020-03-27,3417,502,0,92,15,3417,502
2020-03-28,3904,487,0,114,22,3904,487
2020-03-29,4256,352,0,136,22,4256,352
2020-03-30,4579,323,0,159,23,4579,323
