date,total_cases,daily_cases,actual_cases,total_dead,daily_dead,total_home_isolation,daily_home_isolation,total_hospitalized,daily_hospitalized,total_test,daily_test
2020-03-04,118,118,0,10,10,108,108,0,0,969,969
2020-03-05,176,58,0,11,1,165,57,0,0,1326,357
2020-03-06,223,47,0,14,3,209,44,0,0,2252,926
2020-03-07,341,118,0,16,2,325,116,0,0,2752,500
2020-03-08,417,76,0,18,2,399,74,0,0,3099,347
2020-03-09,584,167,0,22,4,562,163,0,0,4264,1165
2020-03-10,778,194,0,24,2,754,192,0,0,5054,790
2020-03-11,1054,276,0,27,3,1027,273,0,0,7687,2633
2020-03-12,1315,261,0,36,9,1279,252,0,0,10029,2342
2020-03-13,1922,607,0,39,3,1883,604,0,0,16665,6636
2020-03-14,2450,528,0,49,10,2401,518,0,0,20788,4123
2020-03-15,3173,723,0,60,11,3113,712,0,0,27966,7178
2020-03-16,4019,846,0,71,11,3948,835,0,0,41814,13848
2020-03-17,5722,1703,0,90,19,5632,1684,0,0,55013,13199
2020-03-18,7730,2008,0,112,22,7618,1986,0,0,76481,21468
2020-03-19,11719,3989,0,160,48,11559,3941,0,0,103888,27407
2020-03-20,17033,5314,0,219,59,16814,5255,0,0,138507,34619
2020-03-21,23197,6164,0,272,53,20961,4147,1964,1964,182574,44067
2020-03-22,31879,8682,0,398,126,28927,7966,2554,590,228184,45610
2020-03-23,42152,10273,0,471,73,38356,9429,3325,771,294044,65860
2020-03-24,51954,9802,0,675,204,46811,8455,4468,1143,359165,65121
2020-03-25,63928,11974,0,900,225,56892,10081,6136,1668,472767,113602
2020-03-26,80735,16807,0,1163,263,69441,12549,10131,3995,579589,106822
2020-03-27,99413,18678,0,1530,367,84476,15035,13407,3276,686724,107135
2020-03-28,118234,18821,0,1965,435,99906,15430,16363,2956,801413,114689
2020-03-29,139061,20827,0,2428,463,117232,17326,19401,3038,896896,95483
2020-03-30,160530,21469,0,2939,511,135288,18056,22303,2902,1010223,113327
2020-03-31,184683,24153,0,3746,807,154277,18989,26660,4357,1108402,98179
2020-04-01,210816,210816,0,4700,4700,174974,174974,31142,31142,1209675,1209675
2020-04-02,239099,28283,0,5784,1084,200666,25692,32649,1507,1329849,120174
2020-04-03,271988,32889,0,6962,1178,229035,28369,35991,3342,1458842,128993
2020-04-04,305755,33767,0,8314,1352,259039,30004,38402,2411,1639380,180538
2020-04-05,332308,26553,0,9498,1184,281438,22399,41372,2970,1779339,139959
